ID,Name,Rolle,Geschlecht,Region,Funktion,Ehemalige_Partei
MLPD,Marxistisch-Leninistischen Partei Deutschlands (MLPD),Partei,3,Gelsenkirchen,3,0
MS,Manfred Seel,Beisitzer,2,Bund,6,1
MV,Miloš Vučević,"Ministerpräsident Serbien, ehemaliger Verteidigungsminister ",2,Serbien,6,0
MVDS,Michael von der Schulenburg,EU Parlament Abgeordneter,2,EU,6,1
OL,Oskar Lafontaine,Gründungsmitglied BSW,2,Bund,1,"1,2"
PDHWH,Prof. Dr. Hans-Werner Horn,Erweiteter Landesvorstand,2,BaWü,6,0
PDMH,Prof. Dr. Manfred Hentz,Landesvorsitzender BSW,2,BaWü,6,2
PFV,Pegida-Förderverein,Verein,3,Dresden,2,0
PMS,Prof. Matthias Schrappe,Leiter BSW-Expertenrat Gesundheit,2,NA,6,1
RC,Robert Crumbach,Stellv. Ministerpräsident,2,Brandenburg,6,1
RF,Ruth Firmenich,EU Parlament Abgeordneter,1,EU,6,1
RK,Reinhard Kaiser,Beisitzer,2,Berlin,6,5
RL,Rosa Luxemburg Stiftung,Parteinahe Stiftung von der Partei DIE LINKE,3,NA,1,0
RP,Richard Pitterle,Landesschatzmeister,2,BaWü,6,1
RS,Ralph Suikat,Bundesschatzmeister,2,Bund,3,0
RU,Ruptly,"Videoagentur, Netzwerk des russischen Propagandamediums RT ",3,Berlin,4,0
SGFB,Schmalenbach-Gesellschaft für Betriebswirtschaft e.V.,Verein,3,NA,2,0
SH,Shervin Hagsheno,Stellvertretender Parteivorsitzender,2,Bund,3,1
SL,Sergej Lawrow,Russischer Außenminister,2,Russland,6,0
SPD,Soziale Partei Deutschland,Partei,3,Bund,3,0
SQ,Steffen Quasebarth,Vizepräsident des Thüringer Landtages,2,Thüringen,6,0
SR,Stefan Roth,Landesgeschäftsführer,2,Brandenburg,6,1
SS,Steffen Schumann,Beisitzer,2,Bund & Rheinland-Pfalz,6,1
SUB,Senat Uni Bielefeld,Senat,3,Bielefeld,2,0
SvW,Sven Weber,"Mitglied Gründungsversammlung Thüringer Landesverbandes, ehemaliger Linken Politiker",2,Thüringen,6,1
SW,Sahra Wagenknecht,Parteivorsitzende,1,Bund,3,1
