from,to,relation
AAD,BSW,3
AAD,AGA,2
AAD,AM,2
AAD,AR,2
AAD,BSW,2
AAD,BSWeV,3
AAD,BSWeV,2
AAD,CL,2
AAD,DL,6
AAD,DL,9
AAD,FB,2
AAD,HH,2
AAD,JF,2
AAD,JH,2
AAD,JVH,2
AAD,LS,2
AAD,OL,2
AAD,RS,2
AAD,SH,2
AAD,SW,2
AAD,WT,2
AAD,ZN,6
AD,AL,5
AD,KDM,8
AD,SL,5
AFA,UT,2
AFD,TS,6
AFD,TS,9
AG,ZN,5
AG,AL,5
AGA,AAD,2
AGA,BSW,3
AGA,DL,6
AGA,DL,9
AH,AM,2
AH,AU,2
AH,BSW,2
AH,BSW,3
AH,CL,2
AH,DL,9
AH,DL,6
AH,JT,2
AH,SW,2
AH,ZN,2
AH,JT,2
AI,AM,2
AI,BSW,2
AI,BSW,3
AI,SPD,3
AI,SW,2
AL,BSW,6
AL,AD,5
AL,KDM,8
AL,SL,5
AL,ZHS,3
AL,ZHS,2
AL,ZN,6
AL,AM,2
AL ,AG,5
AM,AAD,2
AM,Al,2
AM,AR,2
AM,BSW,2
AM,BSW,3
AM,BSWeV,2
AM,BSWeV,3
AM,CHS,2
AM,CL,2
AM,DL,9
AM,DL,6
AM,FB,2
AM,HO,2
AM,JT,2
AM,LS,2
AM,RS,2
AM,SH,2
AM,SW,2
AM,TR,2
AM,WT,5
AM,SR,2
AM,AH,2
AM,AI,2
AM,AU,2
AM,JR,2
AM,RK,2
Antifa,RP,3
AP,VP,7
AR,AAD,2
AR,AM,2
AR,ARL,2
AR,AU,2
AR,BSW,2
AR,BSW,3
AR,BSWeV,2
AR,BSWeV,3
AR,CL,2
AR,DL,6
AR,DL,9
AR,FB,2
AR,FDM,2
AR,FPB,3
AR,HL,2
AR,JLD,2
AR,JT,2
AR,LS,2
AR,ML,2
AR,RK,2
AR,RL,9
AR,RS,2
AR,SH,2
AR,SR,2
AR,SS,2
AR,SUB,3
AR,SW,2
AR,TG,2
AR,WT,5
AR,ZN,2
ARL,AR,2
ARL,BSW,2
ARL,BSW,3
ARL,CS,2
ARL,DAT,2
ARL,DL,9
ARL,DL,6
ARL,FB,2
ARL,HB,2
ARL,JT,2
ARL,PDHWH,2
ARL,PDMH,2
ARL,RP,2
ARL,UT,2
AU,AR,2
AU,AH,2
AU,AM,2
AU,BSW,2
AU,BSW,3
AU,DL,9
AU,DL,6
AU,FB,2
AU,JF,2
AU,JR,2
AU,SPD,9
AU,SPD,6
AU,SS,2
AU,SW,2
AU,SZ,2
AU,ZN,2
AUS,BSWeV,7
AV,MV,2
AV,WP,5
BDG,RK,9
BDG,RK,6
BSE,SH,9
BSW,AAD,2
BSW,AAD,3
BSW,AGA,3
BSW,AH,2
BSW,AH,3
BSW,AI,3
BSW,AI,2
BSW,AL,6
BSW,AM,2
BSW,AM,3
BSW,AR,2
BSW,AR,3
BSW,ARL,3
BSW,ARL,2
BSW,AU,2
BSW,AU,3
BSW,BSWeV,4
BSW,BSWeV,2
BSW,CHS,3
BSW,CHS,2
BSW,CK,3
BSW,CK,2
BSW,CL,2
BSW,CL,3
BSW,CS,3
BSW,CS,2
BSW,DAT,3
BSW,DAT,2
BSW,DLK,2
BSW,EA,2
BSW,FB,2
BSW,FB,3
BSW,FDM,2
BSW,FDM,3
BSW,FP,2
BSW,FP,3
BSW,FPB,3
BSW,GST,2
BSW,HB,3
BSW,HB,2
BSW,HH,3
BSW,HL,3
BSW,HO,3
BSW,HO,2
BSW,JB,3
BSW,JB,2
BSW,JF,3
BSW,JH,3
BSW,JLD,2
BSW,JLD,3
BSW,JPW,2
BSW,JPW,3
BSW,JR,2
BSW,JR,3
BSW,JT,2
BSW,JT,3
BSW,JVH,3
BSW,KE,3
BSW,KE,2
BSW,KW,2
BSW,KW,3
BSW,LS,2
BSW,LS,3
BSW,LSA,4
BSW,LuS,2
BSW,LuS,3
BSW,MK,3
BSW,MK,2
BSW,ML,2
BSW,ML,3
BSW,MS,2
BSW,MS,3
BSW,MVDS,2
BSW,MVDS,3
BSW,OL,2
BSW,OL,3
BSW,PDHWH,3
BSW,PDHWH,2
BSW,PDMH,2
BSW,PDMH,3
BSW,PMS,2
BSW,PMS,3
BSW,RC,2
BSW,RC,3
BSW,RF,2
BSW,RF,3
BSW,RK,2
BSW,RK,3
BSW,RP,3
BSW,RP,2
BSW,RS,2
BSW,RS,3
BSW,SH,2
BSW,SH,3
BSW,SR,2
BSW,SR,3
BSW,SS,2
BSW,SS,3
BSW,SvW,3
BSW,SvW,2
BSW,SW,2
BSW,SW,3
BSW,SZ,2
BSW,SZ,3
BSW,TG,2
BSW,TG,3
BSW,TK,3
BSW,TK,2
BSW,TR,3
BSW,TR,2
BSW,TS,2
BSW,TS,3
BSW,TST,3
BSW,TST,4
BSW,UL,3
BSW,UL,2
BSW,UT,2
BSW,UT,3
BSW,VP,7
BSW,WH,3
BSW,WT,2
BSW,WT,3
BSW,HH,3
BSW,ZN,3
BSW,ZN,2
BSW,LSA,3
BSWeV,AAD,2
BSWeV,AAD,3
BSWeV,AM,2
BSWeV,AM,3
BSWeV,AR,3
BSWeV,AR,2
BSWeV,AUS,7
BSWeV,BSW,2
BSWeV,BSW,4
BSWeV,CHL,7
BSWeV,CL,2
BSWeV,CL,3
BSWeV,FB,2
BSWeV,FB,3
BSWeV,HH,3
BSWeV,IND,7
BSWeV,ISR,7
BSWeV,JF,3
BSWeV,JF,2
BSWeV,JP,7
BSWeV,LS,3
BSWeV,LS,2
BSWeV,MEX,7
BSWeV,OL,3
BSWeV,OL,2
BSWeV,RS,2
BSWeV,RS,3
BSWeV,SH,2
BSWeV,SH,3
BSWeV,SW,3
BSWeV,SW,2
BSWeV,WT,3
BSWeV,WT,2
BSWeV,HH,3
CDU,TS,6
CDU,TS,9
